Date,Action,Ticker,Quantity,Price,Cash
2022-05-31,BUY,NVDA,50327,18.81100082397461,63.9819130897522
2022-06-10,SELL,INTC,24759,40.0099983215332,990671.5303559303
2022-06-14,SELL,NVDA,50327,15.647000312805176,1778138.1150984764
2022-06-30,SELL,CSCO,1128,42.880001068115234,1826506.7563033104
2022-06-30,BUY,INTC,22330,37.290000915527344,993821.0358595848
2022-06-30,BUY,NVDA,63944,15.541999816894531,3.3995680809020996
2022-07-29,SELL,CSCO,1,45.619998931884766,49.019567012786865
2022-07-29,SELL,INTC,3350,39.709999084472656,133077.51649999619
2022-07-29,BUY,NVDA,7399,17.983999252319336,13.906032085418701
2022-08-27,SELL,INTC,18980,33.36000061035156,633186.7176165581
2022-08-30,SELL,NVDA,71343,15.800999641418457,1760477.435034275
2022-08-31,BUY,INTC,7893,32.2599983215332,1505849.2682824135
2022-08-31,BUY,NVDA,97351,15.468000411987305,23.960175037384033
2022-09-03,SELL,NVDA,97351,13.647000312805176,1328573.087626934
2022-09-16,SELL,INTC,7893,28.84000015258789,1556207.2088313103
2022-09-30,BUY,CSCO,557,40.56999969482422,1533609.7190012932
2022-09-30,BUY,NVDA,125496,12.220000267028809,48.56549024581909
2022-10-31,SELL,NVDA,697,13.833999633789062,9690.863234996796
2022-10-31,BUY,CSCO,212,45.63999938964844,15.183364391326904
2022-11-30,SELL,CSCO,768,48.279998779296875,37094.22242689133
2022-11-30,BUY,NVDA,2371,15.638999938964844,14.153571605682373
2022-12-29,SELL,NVDA,127170,14.03600025177002,1784972.305589199
2022-12-30,BUY,NVDA,122233,14.602999687194824,3.8448243141174316
